title,singer,lyric,url,image
사랑에 연습이 있었다면 (Prod. 2soo),임재현,"사랑에 연습이 있었다면
우리는 달라졌을까
내가 널 만난 시간 혹은 그 장소
상황이 달랐었다면
우린 맺어졌을까
하필 넌
왜 내가 그렇게 철없던 시절에
나타나서 그렇게 예뻤니
너처럼 좋은 여자가
왜 날 만나서 그런
과분한 사랑 내게 줬는지
우리 다시 그때로 돌아가자는게
그게 미친말인가
정신나간 소린가
나는 더 잘 할 수 있고
다신 울리지 않을
자신있는데 그게 왜 말이 안돼
시간이 너무 흘러 알게되었는데
너를 울리지 않고 아껴주는법
세월은 왜 철없는 날
기다려주지 않고
흘러갔는지 야속해
지금 너 만나는 그에게도
내게 그랬던 것처럼
예쁘게 웃어주니
너처럼 좋은 여자의
사랑 받는 그 남자 너무 부러워
넌 행복하니
니옆에 지금 그 남자가 있는게
우리 다시 맺어질수가 없는 이윤가
나는 더 잘 할 수 있고
다신 울리지 않을
자신있는데 그게 왜 말이 안돼
시간이 너무 흘러 알게 되었는데
너를 울리지 않고 아껴주는 법
세월은 왜 널 잊는 법을
알려주지 않고 흘러갔는지",https://www.melon.com/song/detail.htm?songId=31324607,https://cdnimg.melon.co.kr/cm/album/images/102/07/131/10207131_500.jpg/melon/resize/48/quality/80/optimize
그때가 좋았어,케이시 (Kassy),"이젠 내가 편하니
작은 설렘조차 욕심이겠지
항상 곁에 있어서
계속 함께 있을 줄 알았나 봐
음 반복되는 시간에 지쳐가
더 이상 함께 웃을 일도 없어
봄처럼 따뜻했던
그때가 좋았어
너 하나로 충분했던
그때가 좋았어
헤어지고 나서야
깨닫게 됐어
참 좋았구나
참 예뻤구나 우리
지난날에 그때가 참 좋았어
그때 그때
그때 그때 음
이미 너도 다 알잖아
돌이킬 수 없이 멀리 왔다는 거
억지로 더 노력해도
안되는 건 어쩔 수가 없더라
음 우리 언제 이렇게 됐을까
더는 너를 만날 자신이 없어
봄처럼 따뜻했던
그때가 좋았어
행복해서 눈물 나던
그때가 좋았어
헤어지고 나서야
깨닫게 됐어
참 좋았구나
참 예뻤구나 우리
지난날에 그때가 참 좋았어
가진 것도 없고 초라했어도
서로만으로 충분했으니까 우린
너라서 좋았어
행복했어
사랑이 전부였던
그때가 좋았어
그때 알았더라면
더 사랑할 걸
더 안아줄 걸
후회가 돼
사랑했던 우리가 참 그리워
그때 그때
그때 그때 음",https://www.melon.com/song/detail.htm?songId=31524320,https://cdnimg.melon.co.kr/cm/album/images/102/37/420/10237420_500.jpg/melon/resize/48/quality/80/optimize
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"모든 게 궁금해
How’s your day
Oh tell me
뭐가 널 행복하게 하는지
Oh text me
Your every picture
내 머리맡에 두고 싶어
oh bae
Come be my teacher
네 모든 걸 다 가르쳐줘
Your 1 your 2
Listen my my baby 나는
저 하늘을 높이 날고 있어
그때 니가 내게 줬던 두 날개로
이제 여긴 너무 높아
난 내 눈에 널 맞추고 싶어
Yeah you makin’ me a boy with luv
Oh my my my oh my my my
I've waited all my life
네 전부를 함께하고 싶어
Oh my my my oh my my my
Looking for something right
이제 조금은 나 알겠어
I want something stronger
Than a moment
than a moment love
I have waited longer
For a boy with
For a boy with luv
널 알게 된 이후 ya
내 삶은 온통 너 ya
사소한 게 사소하지 않게
만들어버린 너라는 별
하나부터 열까지 모든 게 특별하지
너의 관심사 걸음걸이 말투와
사소한 작은 습관들까지
다 말하지 너무 작던
내가 영웅이 된 거라고
Oh nah
난 말하지 운명 따윈
처음부터 내 게 아니었다고
Oh nah
세계의 평화
No way
거대한 질서
No way
그저 널 지킬 거야 난
Boy with luv
Listen my my baby 나는
저 하늘을 높이 날고 있어
그때 니가 내게 줬던 두 날개로
이제 여긴 너무 높아
난 내 눈에 널 맞추고 싶어
Yeah you makin’ me a boy with luv
Oh my my my oh my my my
You got me high so fast
네 전부를 함께하고 싶어
Oh my my my oh my my my
You got me fly so fast
이제 조금은 나 알겠어
Love is nothing stronger
Than a boy with luv
Love is nothing stronger
Than a boy with luv
툭 까놓고 말할게
나도 모르게 힘이 들어가기도 했어
높아버린 sky
커져버린 hall
때론 도망치게 해달라며 기도했어
But 너의 상처는 나의 상처
깨달았을 때 나 다짐했던 걸
니가 준 이카루스의 날개로
태양이 아닌 너에게로
Let me fly
Oh my my my oh my my my
I've waited all my life
네 전부를 함께하고 싶어
Oh my my my oh my my my
Looking for something right
이제 조금은 나 알겠어
I want something stronger
Than a moment
than a moment love
Love is nothing stronger
Than a boy with luv",https://www.melon.com/song/detail.htm?songId=31737197,https://cdnimg.melon.co.kr/cm/album/images/102/73/641/10273641_500.jpg/melon/resize/48/quality/80/optimize
넘쳐흘러,엠씨더맥스 (M.C the MAX),"나는 그대를 뒤로한 채로
우리 사랑을 놓아요
차오르는 추억을 헝클어뜨려
모두 일어나지 않았던 일처럼
고갤 저어 모르는 꿈이라
말하고 있네요
남았는지 모를 마음이
나를 향해 힘껏 달려도
어느 끝 멈춰질 그 거리에 그대
다 찢겨져버린 사이 더 기워봐도
다시 그때로 우리
되돌려 놓을 수 없는 그 얘기
날카롭게 패인 이 상처가 깊어
나을 수 없으니 떠나가요
떨궈진 눈물은 가슴에 담아지고
이제 더는 채울 자리 없이
넘쳐흐르네요
그대인지 모를 얼굴이
나를 향해 웃음 지어도
손 내밀 수도 없는 거리에 그대
또 주저앉을 수밖에
무너진 이 사랑과
그대의 모든 흔적을
그리워하는 일만이
더 할 게 없어서
무력해져 가는 내가 싫어
그대를 보내기 싫지만
다 찢겨져버린 사이 더 기워봐도
다시 그때로 우릴 되돌려
놓을 수 없는 그 얘기
날카롭게 패인 이 상처가 깊어
나을 수 없으니 떠나가요",https://www.melon.com/song/detail.htm?songId=31532643,https://cdnimg.melon.co.kr/cm/album/images/102/38/710/10238710_500.jpg/melon/resize/48/quality/80/optimize
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해",https://www.melon.com/song/detail.htm?songId=30962526,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/48/quality/80/optimize
너를 만나,폴킴,"너를 만난 그 이후로
사소한 변화들에 행복해져
눈이 부시게 빛 나는 아침
너를 떠올리며 눈 뜨는 하루
식탁 위에 마주 앉아
너의 하루는 어땠는지 묻거나
나의 하루도 썩 괜찮았어
웃으며 대답해 주고 싶어
별것 아닌 일에 맘이 통할 때면
익숙해진 서로가 놀라웠어
널 사랑해
평온한 지금처럼만
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
무심한 말투에 서로 아플 때면
차가워진 사이가
견딜 수 없어 미안해
불안한 지금이라도
영원하고 싶다고
너를 바라보다 생각했어
너를 만나 참 행복했어
나 이토록 사랑할 수 있었던 건
아직 어리고 모자란 내 맘
따뜻한 이해로 다 안아줘서
뜨거웠던 여름 지나
그리워질 빗소리에
하나 둘 수줍어 또 얼굴 붉히면
생각이 많아진
너의 눈에 입 맞출 테니
우리 함께 걸어가기로 해
나를 만나 너도 행복하니
못 해준 게 더 많아서 미안해
이기적이고 불안한 내가
너에게만은 잘하고 싶었어
오랫동안 나 기다려온
완벽한 사랑을 찾은 것 같아
날 잡아줘서 힘이 돼줘서
소중한 배려로 날 안아줘서
너를 만나",https://www.melon.com/song/detail.htm?songId=31388145,https://cdnimg.melon.co.kr/cm/album/images/102/17/134/10217134_500.jpg/melon/resize/48/quality/80/optimize
사계 (Four Seasons),태연 (TAEYEON),"사계절이 와 그리고 또 떠나
내 겨울을 주고 또 여름도 주었던
온 세상이던 널 보낼래
정말 너를 사랑했을까
언제야 봄이던가
맞아 그땐 한참 서로가
셰익스피어의 연극 같은
마지막이 될 사랑 마주한 듯
둘밖에 안 보였나 봐
다른 걸 좀 보고파
I gave you the world
너만이 전부라
내 겨울을 주고 또 여름도 주었지
뜨겁고 차갑던 그 계절에
정말 너를 사랑했을까
내가 너를 사랑했을까
서로를 그리워했고
서로를 지겨워하지
그 긴 낮과 밤들이
낡아 녹슬기 전에
우리 다시 반짝이자
또 계절이 바뀌잖아
I gave you the world
너만이 전부라
내 겨울을 주고 또 여름도 주었지
뜨겁고 차갑던 그 계절에
정말 너를 사랑했을까
내가 너를 사랑했을까
가도 돼 뒤돌아볼 때쯤엔 난 없어
우리 꽤 괜찮았어
그거면 된 거야 떠날 때
사계절이 와 그리고 또 떠나
내 겨울을 주고 또 여름도 주었던
온 세상이던 널 보낼래
정말 너를 사랑했을까
내가 너를 사랑했을까
내가 너를 사랑했을까",https://www.melon.com/song/detail.htm?songId=31688205,https://cdnimg.melon.co.kr/cm/album/images/102/65/079/10265079_500.jpg/melon/resize/48/quality/80/optimize
주저하는 연인들을 위해,잔나비,"나는 읽기 쉬운 마음이야
당신도 스윽 훑고 가셔요
달랠 길 없는 외로운 마음 있지
머물다 가셔요 음
내게 긴 여운을 남겨줘요
사랑을 사랑을 해줘요
할 수 있다면 그럴 수만 있다면
새하얀 빛으로 그댈 비춰 줄게요
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선
남몰래 펼쳐보아요
나의 자라나는 마음을
못 본 채 꺾어 버릴 순 없네
미련 남길바엔 그리워 아픈 게 나아
서둘러 안겨본 그 품은 따스할 테니
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선
남몰래 펼쳐보아요
언젠가 또 그날이 온대도
우린 서둘러 뒤돌지 말아요
마주보던 그대로 뒷걸음치면서
서로의 안녕을 보아요
피고 지는 마음을 알아요
다시 돌아온 계절도
난 한 동안 새 활짝 피었다 질래
또 한번 영원히
그럼에도 내 사랑은
또 같은 꿈을 꾸고
그럼에도 꾸던 꿈을
난 또 미루진 않을거야",https://www.melon.com/song/detail.htm?songId=31666417,https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/48/quality/80/optimize
니 소식,송하예,"그때의 우리 사랑
뜨겁고 치열했는데
끝나보니 남는건 미움뿐
몇번의 계절을 더
보내야 괜찮아 질까
미련이 듬뿍 남은 하루를 보내
친구들과 통화에
우연히 들은 니 소식
다른 사랑을 시작해
잘 지낸다고
한땐 소중했었고
많이 사랑했었던
우리둘은 이젠 남이 됐고
모르는 사람이야
넌 완벽히 잊었나봐
이렇게 넌 잘사는데
괜한 걱정을 했나봐
나만 힘든가봐
너도 내 소식을
전해 들었으면 좋겠어
아직은 좀 힘들어 한다는
미안한 마음갖고
가끔씩 날 생각해줘
그래야 내 맘이 좀
편할거 같아
니옆에 다른 사람
있다는게 참 낯설어
뭔지 모를 서운함은
이기적인 거니
한땐 소중했었고
많이 사랑했었던
우리둘은 이젠 남이 됐고
모르는 사람이야
넌 완벽히 잊었나봐
이렇게 넌 잘사는데
나만 끝을 미뤘나봐
나만 그랬나봐
솔직한 맘을 말하면
좋은 사랑 안했으면 해
가슴아프게 지내길 바랬어
너는 행복하겠지
많이 설레이겠지
나 없이도 웃는 니 모습에
이제야 실감이나
넌 완벽히 떠났나봐
확실히 날 떠났나봐
난 니가 너무 미워져
행복하지 말아줘
잘지내지 말아줘
좋은 사람 만나 다행이란
말은 거짓말이야
네 소식 들은 그날밤
펑펑 울다가 밤을 샜어
늦어버린걸 알지만
어쩔수 없나봐",https://www.melon.com/song/detail.htm?songId=31788850,https://cdnimg.melon.co.kr/cm/album/images/102/83/614/10283614_500.jpg/melon/resize/48/quality/80/optimize
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"별빛이 내린 밤
그 풍경 속 너와 나
날 새롭게 하는
따뜻하게 만드는
니 눈빛 니 미소
영원히 담아둘게
너로 가득한 맘
널 닮아가는 나
날 위한 선물
꿈보다 더 아름다운
서로의 품에서
끝 없는 밤을 걷자
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
행복이 짙은 날
어둠이 없는 밤
같은 맘 속에
같은 꿈이 피어난 건
우리의 정해진
운명이 맞닿은거야
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
내게 온 너란 빛이 눈 부셔도
네 앞에서 한 순간도 눈 감지 않아
다가올 시간도
계절의 바람도
널 데려가지 못하게
내가 더 좋은 사람이 되고 싶어
더 아름답게 널 안을 수 있게
잠들지 못한
잠들 수 없는
바람들이 널 부르고 있어
언제까지나 너와 함께 할거야
내 마지막 숨결도 너일거야
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
이렇게 밝게 이 밤을 비춰",https://www.melon.com/song/detail.htm?songId=31853557,https://cdnimg.melon.co.kr/cm/album/images/102/94/603/10294603_500.jpg/melon/resize/48/quality/80/optimize
