title,singer,lyric,url
사랑을 했다 (LOVE SCENARIO),iKON,"사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다
우리가 만든 LOVE SCENARIO
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
에이 괜찮지만은 않아
이별을 마주한다는 건
오늘이었던 우리의 어제에
더는 내일이 없다는 건
아프긴 해도 더 끌었음
상처가 덧나니까 Ye
널 사랑했고 사랑 받았으니
난 이걸로 됐어
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다
우리가 만든 LOVE SCENARIO
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
갈비뼈 사이사이가 찌릿찌릿한 느낌
나 사랑받고 있음을
알게 해주는 눈빛
너에게 참 많이도 배웠다
반쪽을 채웠다
과거로 두기엔
너무 소중한 사람이었다
나 살아가면서 가끔씩 떠오를 기억
그 안에 네가 있다면 그거면 충분해
사랑을 했다 우리가 만나
지우지 못할 추억이 됐다
볼만한 멜로드라마
괜찮은 결말
그거면 됐다 널 사랑했다
네가 벌써 그립지만
그리워하지 않으려 해
한 편의 영화 따스했던 봄으로
너를 기억할게
우리가 만든 LOVE SCENARIO
이젠 조명이 꺼지고
마지막 페이지를 넘기면
조용히 막을 내리죠
우린 아파도 해봤고
우습게 질투도 했어
미친 듯이 사랑했고
우리 이 정도면 됐어
사랑을 했다
우리가 만나
그거면 됐다
널 사랑했다",https://www.melon.com/song/detail.htm?songId=30859584
그날처럼,장덕철,"참 많은 시간이 흘러가고
넌 어떻게 사는지 참 궁금해
날 걱정하는 사람들에게
다 잊었단 거짓말하는 내가 참 미운 날
아름다운 이별은 세상에 없다지만
그때 내가 조금 더 너를
편하게 보내줬다면
다른 사람 또 만나 행복할 니가 가끔은
내 생각할 때에 지을 표정이 참 궁금해
날 보는 네 눈이 좋아서
얼굴 붉히며 딴청 피던
아름답던 그날처럼
좋은 사람 만나 사랑 받고
너도 이젠 웃을 수 있길
찬란했던 우리 그날처럼
비어있는 지갑에 음식점을 서성이면
월급날이라며 손잡아 이끌어주던
만 원짜리 커플링 고맙다며 펑펑 울던
과분한 네 사랑 받을 사람 참 부러워
날 보는 네 눈이 좋아서
얼굴 붉히며 딴청 피던
아름답던 그날처럼
좋은 사람 만나 사랑 받고
너도 이젠 웃을 수 있길
찬란했던 우리 그날처럼
문득 들려오는 너의 소식에
가끔씩은 혼자 울 수 있길
끝까지 이기적인 내가
이젠 나 없이도 괜찮다
너에게 듣고 싶던 말
좋은 사람 만나 미안해
다시 돌아갈 순 없지만
아름답던 우리 그날",https://www.melon.com/song/detail.htm?songId=30755375
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해",https://www.melon.com/song/detail.htm?songId=30962526
지나오다,닐로(Nilo),"이별을 말하고 넌 괜찮은 거니
여전히 내 하루는 온통 네 생각에
뜬 눈으로 밤을 지새고
난 두려워 시간이 쌓여갈수록
내가 잊혀질까 봐 우리 시간마저
모두 무너질까 봐
나도 모르게 너무 보고 싶어서
네 집 앞을 찾아가
너도 나만큼은 아닐지라도
보고 싶었다고
말해줘 지금 나 너의 집 앞에 있어
우리의 시간을 되돌려줘
아무 일도 없던 것처럼 날 안아줘
끝이라는 게 난 너무나 두려워서
다가가지도 못하고
한참 서성이다 말도 못하고
다시 돌아가는 나
하루가 가고 또 하루가 지나도
갈수록 커져만 가
맘에 없는 거짓말이라도
날 사랑한다고
말해줘 지금 나 너의 집 앞에 있어
우리의 시간을 되돌려줘
아무 일도 없던 것처럼 날 안아줘
끝이라는 게 난 너무나 두려워서
다가가지도 못하고
한참 서성이면 우리 한 번은
단 한 번쯤은 마주치진 않을까
당장이라도 전활 걸어
네 목소리 듣고 싶은데
내가 더 싫어지게 될까 봐
작은 감정마저 그렇게 사라질까 봐
마음이란 게 말처럼 되질 않잖아
보다 조금만 널 사랑했더라면
스치는 바람처럼 스쳐 지나갈 텐데
끝이라는 게 난 너무나 두려워서
다가가지도 못하고
한참 서성이다 혹시 마주치게 된다면
나처럼 아픈 시간 속에 살았기를
오늘도 난 돌아서지만",https://www.melon.com/song/detail.htm?songId=30699142
뿜뿜,모모랜드 (MOMOLAND),"설레어 너와 나의 랑데뷰
랑데뷰
내 마음을 들었다 놨다 해 맘대루
맘대루
지금 내 눈엔 눈엔 눈엔
네 어깨 무릎 발 Oh
숨이 탁 막힐 것 같아 난 너만 보면
wow wow
정신을 또 놔 놔 네 매력에
난 난 놀라게 돼 또
Hit it Hit it Hit it HO
우우우 무슨 말이 필요해 넌
숨이 콱 막힐 것 같아 넌
자꾸만 봐 자꾸 와
이제 나만 보게 될 거야
너를 들었다 놓을 거야
넌 점점 더 Fall in love
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜
내 발끝까지 뿜뿜 뿜뿜 어
Just feel it 뿜뿜
네 앞에서 난 뿜뿜
네게 줄게 뿜뿜 뿜뿜 어
지금 보고 있는 게 꿈은 아닐 걸
Wake Up Wake Up
땡땡이치고 날 만나게 될 걸
Take off Take off
매력을 야 뿜어뿜어뿜어뿜어
보여줄게 Pic up the phone
Now or Never Pick up Pick up
wow wow
정신없이 쿵 쿵
내 마음을 뿜 뿜 사정없이 또
Hit it Hit it Hit it HO
우우우 여기서 뭘 어떻게 더
낮이나 밤이나 빛이나 미쳤나봐
떨리지 막 떨려와
이제 나만 생각 날 거야
밤에 잠도 잘 못 잘 거야
점점 더 Fall in love
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜
내 발끝까지 뿜뿜 뿜뿜 어
우 너만 보면 너만 보면
내 가슴이 뿜뿜뿜뿜
뿜뿜뿜뿜 뿜
우 자꾸 봐도 자꾸 봐도
내 가슴이 쿵쿵쿵쿵
뿜뿜뿜뿜
Give it to you My 눈눈눈눈눈눈 눈빛
쏟아지는 My 터터터터터터 터치
하나뿐인 My 럽럽럽럽럽 My Luver
내 머리부터 뿜뿜
내 발끝까지 뿜뿜 뿜뿜 어
Just feel it 뿜뿜
네 앞에서 난 뿜뿜
네게 줄게 뿜뿜 뿜뿜 어",https://www.melon.com/song/detail.htm?songId=30816860
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,"착한 얼굴에 그렇지 못한 태도
가녀린 몸매 속
가려진 volume은 두 배로
거침없이 직진
굳이 보진 않지 눈치
Black 하면 Pink
우린 예쁘장한 Savage
원할 땐 대놓고 뺏지
넌 뭘 해도 칼로 물 베기
두 손엔 가득한 fat check
궁금하면 해봐 fact check
눈 높인 꼭대기
물 만난 물고기
좀 독해 난 Toxic
You 혹해 I`m Foxy
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that
ddu-du ddu-du du
Hit you with that
ddu-du ddu-du du
지금 내가 걸어가는 거린
BLACKPINK 4 way 사거리
동서남북 사방으로 run it
너네 버킷리스트
싹 다 I bought it
널 당기는 것도 멀리 밀치는 것도
제멋대로 하는 bad girl
좋건 싫어하건 누가 뭐라 하던
When the bass drop
it’s another banger
두 번 생각해
흔한 남들처럼 착한 척은 못 하니까
착각하지 마
쉽게 웃어주는 건 날 위한 거야
아직은 잘 모르겠지
굳이 원하면 test me
넌 불 보듯이 뻔해
만만한 걸 원했다면
Oh wait til’ I do what I do
Hit you with that ddu-du ddu-du du
Hit you with that ddu-du ddu-du du
What you gonna do
when I come come through
with that that uh uh huh
What you gonna do
when I come come through
with that that uh uh huh
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
뜨거워 뜨거워 뜨거워 like fire
Hit you with that ddu-du ddu-du du",https://www.melon.com/song/detail.htm?songId=31131273
선물,멜로망스,"빛이 들어오면 자연스레 뜨던 눈
그렇게 너의 눈빛을 보곤
사랑에 눈을 떴어
항상 알고 있던 것들도 어딘가
새롭게 바뀐 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
별생각 없이 지나치던 것들이
이제는 마냥 내겐 예뻐 보이고
내 맘을 설레게 해
항상 어두웠던 것들도 어딘가
빛나고 있는 것 같아
남의 얘기 같던 설레는 일들이
내게 일어나고 있어
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
너를 알게 된 뒤 보이는
모든 것들이 너무 예뻐 보여
그렇게 신난 아이처럼
순수한 사람이 된 것 같아
나에게만 준비된 선물 같아
자그마한 모든 게 커져만 가
항상 평범했던 일상도
특별해지는 이 순간
깊은 사랑에 빠진 순간",https://www.melon.com/song/detail.htm?songId=30514366
Way Back Home,숀 (SHAUN),"멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
아무리 힘껏 닫아도
다시 열린 서랍 같아
하늘로 높이 날린 넌
자꾸 내게 되돌아와
힘들게 삼킨 이별도
다 그대로인 걸
oh oh oh
수없이 떠난 길 위에서
난 너를 발견하고
비우려 했던 맘은 또
이렇게 너로 차올라
발걸음의 끝에
늘 니가 부딪혀
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
조용히 잠든 방을 열어
기억을 꺼내 들어
부서진 시간 위에서
선명히 너는 떠올라
길 잃은 맘 속에
널 가둔 채 살아
그만
그만
멈춘 시간 속
잠든 너를 찾아가
아무리 막아도
결국 너의 곁인 걸
길고 긴 여행을 끝내
이젠 돌아가
너라는 집으로
지금 다시
way back home
세상을 뒤집어
찾으려 해
오직 너로 완결된
이야기를
모든 걸 잃어도
난 너 하나면 돼
빛이 다 꺼진 여기
나를 안아줘
눈을 감으면
소리 없이 밀려와
이 마음 그 위로
넌 또 한 겹 쌓여가
내겐 그 누구도 아닌
니가 필요해
돌아와 내 곁에
그날까지
I’m not done",https://www.melon.com/song/detail.htm?songId=31151836
그때 헤어지면 돼,로이킴,"나를 사랑하는 법은 어렵지 않아요
지금 모습 그대로 나를 꼭 안아주세요
우리 나중에는 어떻게 될진 몰라도
정해지지 않아서 그게 나는 좋아요
남들이 뭐라는 게 뭐가 중요해요
서로가 없음 죽겠는데 뭐를 고민해요
우리 함께 더 사랑해도 되잖아요
네가 다른 사람이 좋아지면
내가 너 없는 게 익숙해지면
그때가 오면 그때가 되면
그때 헤어지면 돼
너를 사랑하는 법도 어렵지 않아요
한 번 더 웃어주고 조금 더 아껴주면
우리 사랑하는 법도 어렵지 않아요
매일 처음 만난 눈빛으로
서로를 바라봐 주면
남들이 뭐라는 게 뭐가 중요해요
서로가 없음 죽겠는데 뭐를 고민해요
우리 함께 더 사랑해도 되잖아요
네가 다른 사람이 좋아지면
내가 너 없는 게 익숙해지면
그때가 오면 그때가 되면 그때
그때 그때
네가 원하든 말든 널 잡을 거고
내가 더 이상 지쳐 걷지 못할 때
그때가 오면 그때가 되면
그때 헤어지면 돼
그때 헤어지면 돼",https://www.melon.com/song/detail.htm?songId=30884950
여행,볼빨간사춘기,"저 오늘 떠나요 공항으로
핸드폰 꺼 놔요
제발 날 찾진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 bye bye
쉬지 않고 빛났던 꿈같은
my youth
이리저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London
Paris New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
저 이제 쉬어요 떠날 거예요
노트북 꺼 놔요
제발 날 잡진 말아줘
시끄럽게 소리를 질러도
어쩔 수 없어 나
가볍게 손을 흔들며 see ya
쉬지 않고 빛났던 꿈같은
my youth
이리 저리 치이고 또 망가질 때쯤
지쳤어 나 미쳤어
나 떠날 거야 다 비켜
I fly away
Take me to London Paris
New York city들
아름다운 이 도시에 빠져서 나
Like I'm a bird bird
날아 다니는 새처럼
난 자유롭게 fly fly
나 숨을 셔
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔
I can fly away
Fly always always always
Take me to new world anywhere
어디든
답답한 이 곳을 벗어 나기만 하면
Shining light light
빛나는 my youth
자유롭게 fly fly
나 숨을 셔",https://www.melon.com/song/detail.htm?songId=31093710
