title,singer,lyric,url
뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),"난 깨어나 까만 밤과 함께
다 들어와 담엔 누구 차례
한 치 앞도 볼 수 없는 막장 게릴라
경배하라 목청이 터지게
찌질한 분위기를 전환해
광기를 감추지 못하게 해
남자들의 품위 여자들의 가식
이유 모를 자신감이 볼만해
난 보란 듯이 너무나도 뻔뻔히
니 몸속에 파고드는 알러지
이상한 정신의 술렁이는 천지
오늘 여기 무법지
난 불을 질러
심장을 태워
널 미치게 하고 싶어
B I G Yea we bang like this
모두 다 같이
총 맞은 것처럼
BANG BANG BANG
BANG BANG BANG
빵야 빵야 빵야
BANG BANG BANG
BANG BANG BANG
빵야 빵야 빵야
다 꼼짝 마라 다 꼼짝 마
다 꼼짝 마라 다 꼼짝 마
오늘 밤 끝장 보자 다 끝장 봐
오늘 밤 끝장 보자
빵야 빵야 빵야
널 데려가 지금 이 순간에
새빨간 저 하늘이 춤출 때
돌고 돌아 너와 나 이곳은 Valhalla
찬양하라 더 울려 퍼지게
We go hard 불침번
밤새 달려 축지법
이 노래는 꼭지점
신이나 불러라 신점
큰 비명소리는 마성의 멜로디
검은 독기의 연결 고리
사방 팔방 오방 가서 푸는 고삐 whoo
난 불을 질러
네 심장을 태워
널 미치게 하고 싶어
B I G Yea we bang like this
모두 다 같이
총 맞은 것처럼
BANG BANG BANG
BANG BANG BANG
빵야 빵야 빵야
BANG BANG BANG
BANG BANG BANG
빵야 빵야 빵야
다 꼼짝 마라 다 꼼짝 마
다 꼼짝 마라 다 꼼짝 마
오늘 밤 끝장 보자 다 끝장 봐
오늘 밤 끝장 보자
빵야 빵야 빵야
Ready or not
Yea we don't give a what
Ready or not
Yea we don't give a what
Let’s go 남자들은 위로
여자들은 get low
당겨라 bang bang bang
let the bass drum go
남자들은 위로
여자들은 get low
당겨라 bang bang bang
let the bass drum go
let the bass drum go
let the bass drum go
bang bang bang
bang bang bang
let the bass drum go
bang bang bang
bang bang bang
let the bass drum go",https://www.melon.com/song/detail.htm?songId=5719286
같은 시간 속의 너,나얼,"꼭 그러지 않아도
충분히 널 이해할 수 있어
다른 사람 곁에 서 있는 니 모습이
조금 어색하지만
다 버리지 않아도
어떻게든 이겨낼 수 있어
다른 사랑 찾아가버린 니 얼굴이
그렇게 밉진 않아
이제 우리 같은 시간 속을 남처럼
그렇게 걸으면 돼
달아나도 가지 못할 기억 안고
아무말도 하지마요
더는 안된다는거 잘 알아요
많은 날들이 아무 의미없진 않겠죠
멀어지는 바람처럼
우리 함께한 기억들을 꿈처럼
그렇게 안으면 돼
눈 감아도 잊지 못할 추억의 널 묻고
아무말도 하지마요
더는 안된다는거 잘 알아요
사랑했던 날 모두 사라지진 않겠죠
우릴 스치는 안개처럼
아무것도 묻지 않을게요
이대로 묻어둘래요 나는요
거짓말처럼 또 하루가 살아지겠죠
떨어지는
같은 시간 속의 너",https://www.melon.com/song/detail.htm?songId=5576417
꺼내 먹어요,Zion.T,"안녕
쉽지 않죠 바쁘죠
왜 이렇게 까지
해야 하나 싶죠
바라는 게
더럽게 많죠
그렇죠
쉬고 싶죠
시끄럽죠
다 성가시죠
집에 가고 싶죠
집에 있는데도
집에 가고 싶을 거야
그럴 땐 이 노래를
초콜릿처럼 꺼내 먹어요
피곤해도 아침 점심 밥
좀 챙겨 먹어요
그러면 이따 내가 칭찬해줄게요
보고 싶어
많이 좋아해요
더 많이 안아주고 싶어요
사랑 사랑 비슷한 걸 해요
어쩌면 정말 사랑해요
배고플 땐 이 노래를
아침 사과처럼 꺼내 먹어요
피곤해도 아침 점심 밥
좀 챙겨 먹어요
그러면 이따 밤에 잠도 잘 올 거에요
힘들어요
아름다워서
알아봐줘요 나를
흘려 보내지 마요 나를
사랑해줘요 날 날
놓치지 마요",https://www.melon.com/song/detail.htm?songId=5702706
이럴거면 그러지말지 (Feat. Young K),백아연,"궁금해서 잠이 안 와
그때 왜 그랬어
구차해도 묻고 싶어
그때 난 뭐였어
나나나나 나나 나나
나만 애 탄거니
나나나나 나나 나나
난 진심인데 넌
그랬구나 그랬어
좋았는데 넌 아니었나 봐
그랬구나 그때 넌
그런 줄 모르고 나 혼자
이럴 거면 바래다주었던 그날 밤
넌 나를 안아주지 말았어야지
설렘에 밤잠 설치게 했던 그 말
그 말도 말았어야지
그러지는 말지
비겁하게 숨어버린 너를
돌아 올 거라고 믿은 내가 바보야
사랑스럽게 날 보던 네 눈빛에
빠졌던 내가 바보지
이럴 줄도 모르고
이렇게 돼 버린 이상
그냥 얘기할게
이미 떠나버린 니 맘
돌릴 순 없으니
그랬구나 그랬어
좋았는데 넌 아니었나 봐
그랬구나 그때 넌
네 생각 뿐인데 나 혼자
이럴 거면 바래다주었던 그날 밤
넌 나를 안아주지 말았어야지
설렘에 밤잠 설치게 했던 그 말
그 말도 말았어야지
이럴 줄은 몰랐어
어때 넌 어떻게 하고 싶니
지금 이 순간의 감정일지
중간에 금방 에러가 날것인지
I don’t know 하지만 내 생각엔
오래가진 못할 거 같아
너 아닌 나 때문에
이 관계는 이어지지 못해
잠 못 들어 아픈 이 새벽
잘 지내니 문자 한번쯤은 해주지
혹시나 하며 올린 우리 얘기에
좋아요 누르지 말지
괜히 기대 하게
바래다주던 그 날 밤처럼
돌아와서 포근하게 나를 안아줘
설렘에 밤잠 설치게 했던 말로
또 두근거리게 해줘
다시 날 녹여줘
이럴 거면 귀엽다고 하지 말지
그러지 말지
혼잣말만 늘어가네
전하지도 못할 말만",https://www.melon.com/song/detail.htm?songId=5704397
위잉위잉,혁오 (HYUKOH),"비틀비틀 걸어가는 나의 다리
오늘도 의미없는
또 하루가 흘러가죠
사랑도 끼리끼리
하는거라 믿는 나는
좀처럼 두근두근
거릴일이 전혀없죠
위잉위잉 하루살이도
처량한 나를 비웃듯이
멀리 날아가죠
비잉비잉 돌아가는
세상도 나를 비웃듯이
계속 꿈틀대죠
Tell me Tell me Please don’t tell
차라리 듣지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 보지 못한 편이
내겐 좋을거야
ai ai ai ai ai ai ai
ai ai ai ai ai ai ai
ai ai ai ai ai ai ai
ai ai ai ai ai ai
사람들 북적대는
출근길의 지하철엔
좀처럼 카드찍고
타볼일이 전혀없죠
집에서 뒹굴뒹굴
할 일없어 빈둥대는
내 모습 너무 초라해서
정말 죄송하죠
위잉위잉 하루살이도
처량한 나를 비웃듯이
멀리 날아가죠
비잉비잉 돌아가는
세상도 나를 비웃듯이
계속 꿈틀대죠
쌔앵 쌔앵 칼바람도
상처난 내 마음을
어쩌지는 못할거야
뚜욱 뚜욱 떨어지는
눈물이 언젠가는
이세상을 덮을거야
Tell me Tell me Please don’t tell
차라리 듣지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 보지 못한 편이
내겐 좋을거야
Tell me Tell me Please don’t tell
차라리 느껴보지 못한 편이
좋을거야
Tell me Tell me Please don’t tell
차라리 살아보지 못한 편이
좋을거야
비틀비틀 걸어가는 나의 다리
오늘도 의미없는
또 하루가 흘러가죠
사랑도 끼리끼리
하는거라 믿는 나는
좀처럼 두근두근
거릴일이 전혀없죠
위잉위잉 하루살이도
처량한 나를
비웃듯이 멀리 날아가죠
비잉비잉 돌아가는
세상도 나를
비웃듯이 계속 꿈틀대죠",https://www.melon.com/song/detail.htm?songId=5385974
LOSER,BIGBANG (빅뱅),"LOSER 외톨이
센 척하는 겁쟁이
못된 양아치 거울 속에 넌
JUST A LOSER 외톨이
상처뿐인 머저리
더러운 쓰레기
거울 속에 난 I'M A
솔직히 세상과 난 어울린 적 없어
홀로였던 내겐 사랑 따윈 벌써
잊혀 진지 오래 저 시간 속에
더 이상은 못 듣겠어
희망찬 사랑 노래
너나 나나 그저 길들여진 대로
각본 속에 놀아나는 슬픈 삐에로
난 멀리 와버렸어
I'M COMING HOME
이제 다시 돌아갈래
어릴 적 제자리로
언제부턴가 난 Yeah
하늘 보다 땅을 더 바라보게 돼
숨쉬기조차 힘겨워
손을 뻗지만 그 누구도
날 잡아 주질 않네 I'M A
LOSER 외톨이
센 척하는 겁쟁이
못된 양아치 거울 속에 넌
JUST A LOSER 외톨이
상처뿐인 머저리
더러운 쓰레기
거울 속에 난 I'M A
반복되는 여자들과의 내 실수
하룻밤을 사랑하고 해 뜨면 싫증
책임지지 못 할
나의 이기적인 기쁨
하나 땜에 모든 것이
망가져버린 지금
멈출 줄 모르던 나의 위험한 질주
이젠 아무런 감흥도
재미도 없는 기분
나 벼랑 끝에 혼자 있네
I'M GOING HOME
나 다시 돌아갈래
예전의 제자리로
언제부턴가 난 Yeah
사람들의 시선을 두려워만 해
우는 것조차 지겨워
웃어보지만 그 아무도
날 알아주질 않네 I'M A
LOSER 외톨이
센 척하는 겁쟁이
못된 양아치 거울 속에 넌
JUST A LOSER 외톨이
상처뿐인 머저리
더러운 쓰레기 거울 속에 난
파란 저 하늘을 원망하지 난
가끔 내려놓고 싶어져
I WANT TO SAY GOOD BYE
이 길의 끝에 방황이 끝나면
부디 후회 없는 채로
두 눈 감을 수 있길
LOSER 외톨이
센 척하는 겁쟁이
못된 양아치 거울 속에 넌
JUST A LOSER 외톨이
상처뿐인 머저리
더러운 쓰레기
거울 속에 난 I'M A
LOSER
I'M A LOSER
I'M A LOSER
I'M A LOSER",https://www.melon.com/song/detail.htm?songId=5682700
BAE BAE,BIGBANG (빅뱅),"I'M IN LOVE
눈에 콩깍지 씌었어 BABE
하의 실종에 흰 와이셔츠 BABE
사람이야 천사야
OH JESUS BABE
눈부셔 BABE
SUNGLASS BABE
정신이 망신이야 홀렸어 네게
피가 한쪽으로 또 쏠렸어 네게
위험해
YOU'RE SO DANGEROUS BABE
살려줘 BABE
경찰 불러 BABE
BABY BABY 지금처럼만
아름다워 줄래 넌
시간이 지나도 내가 설렐 수 있게
BABY BABY 넌 시들지 마
이기적인 날 위해
그 모습 그대로
넌 그대로 여야만 해
사슴같이 예쁜 눈
나의 PRINCESS
나를 보고 비웃는 게
너무 CHIC 해
미친 거 아닐까
자연 미인 특이해 특이해
내게 완벽한 그대여
나의 MUSE 해
우리 둘이 편해 완전 살찌네
너와 몸이 완전 착착 감기네
영원히 넌 스물다섯이야 내게
변치 않아 BABE
5 X 5 BABE
BABY BABY 지금처럼만
아름다워 줄래 넌
시간이 지나도 내가 설렐 수 있게
BABY BABY 넌 시들지 마
이기적인 날 위해
그 모습 그대로
넌 그대로 여야만 해
난 예쁜 꽃을 든 남자
모든 이가 사랑할
너란 꽃을 든 남자
그대 향기에 취해
난 또 몽롱해지고
꺾이지 말아주오 제발 너만은
찹쌀떡 찹쌀떡
궁합이 우리 우리 궁합이
찹쌀떡 찹쌀떡
궁합이 우리 우리 궁합이",https://www.melon.com/song/detail.htm?songId=5684826
그냥 (Just),"Zion.T, Crush","내가 안쓰러워 보여
인사하는 거라면
내 마음 다칠까 걱정 말고
그냥 지나가면 돼요
Nanana 나 나나
Nananana 나나
내 마음 아플까 걱정 말고
사실 난 아무렇지도 않아
꼭 아픈 사람처럼 보여도
하고픈 이야기 너무 많았는데
결국 나 혼자 나 혼자
나 혼자서 어쩌구
사실 나는 널 좋아하지 않아
오히려 미워해 싫어해
매일 밤 홀로 누운 침대 위에서
꼭 끌어안은 이불은 추워
내가 안쓰러워 보여
다가오는 거라면
내 마음 아플까 걱정 말고
그냥 지나가면 돼요
니가 내게 무심코
뱉어댄 차가운 말들
몰래 속앓이 해 원래 당연하단 듯
어차피 안 이뤄져 뻔해 잘 알아
동정 따윈 더 이상
나 바라지도 않아
초라해지기 싫어서
나 먼저 그 자리에 일어섰네
머뭇거리지 마 나 진짜 괜찮아
아무 말 말고
뒤돌아 서서 걸어가
Nanana 나 나나
Nananana 나나
내 마음 아플까 걱정 말고
그냥 지나가면 돼요
지나가면",https://www.melon.com/song/detail.htm?songId=5572312
양화대교,Zion.T,"우리 집에는
매일 나 홀로 있었지
아버지는 택시드라이버
어디냐고 여쭤보면 항상
양화대교
아침이면 머리맡에 놓인
별사탕에 라면땅에
새벽마다 퇴근하신 아버지
주머니를 기다리던
어린 날의 나를 기억하네
엄마 아빠 두 누나
나는 막둥이 귀염둥이
그 날의 나를 기억하네
기억하네
행복하자
우리 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래
내가 돈을 버네 돈을 다 버네
엄마 백원만 했었는데
우리 엄마 아빠 또 강아지도
이젠 나를 바라보네
전화가 오네 내 어머니네
뚜루루루 아들 잘 지내니
어디냐고 물어보는 말에
나 양화대교 양화대교
엄마 행복하자
아프지 말고 좀 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래
그 때는 나 어릴 때는
아무것도 몰랐네
그 다리 위를 건너가는 기분을
어디시냐고 어디냐고
여쭤보면 아버지는 항상
양화대교 양화대교
이제 나는 서있네 그 다리 위에
행복하자
우리 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래
행복하자 행복하자
아프지 말고 아프지 말고
행복하자 행복하자
아프지 말고 그래 그래",https://www.melon.com/song/detail.htm?songId=5389475
우연히 봄,"로꼬, 유주 (YUJU)","우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
어 어느새
겨울 지나 봄이야
여전히 난 너
앞에선 돌이야
난 아직 이게
믿기지가 않지만
내 왼손은
지금까지도 너의 향기가
미묘하게 흘렀던 분위기에
아직까지 난 가까스로 숨 쉬네
무대 위완 다르게 니 눈을 피해
고개를 돌렸던
내 모습에 한숨 쉬네
오랜만에 느껴지는
이 떨림이 날 단순하게 만들어
딱 너만 아는 거리지
다 고쳤다고 생각했던 버벅임이
또 도져서 준비했던
말을 잊어버리지
난 주워 담지 못할
말은 절대 안 해
원하는 걸 말해봐
널 위해서만 할게
너 빼곤 다
색칠할 수 있어 까맣게
천천히 갈게 조금 더 가깝게
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
우연히 봄
어 아직까지 향기가 짙네
발걸음이 가벼워
집에 가는 길엔
더 가까워질 너와 나를
상상하는 내 모습이
오글거려 몸서리치네
어 어 머릿속이
하얘지기 때문에
하루 종일 날씨
얘기만 반복하게 돼
오로지 난 너 하나 때문에
다른 것들에겐 무감각하게 돼
정적이 만드는 긴장감은
오히려 설레어
나를 미소 짓게 만들어
모른 척 하려 했던
니 옆의 남자들은
흐릿했던 내 눈 앞에
불을 키게 만들어
겨울은 유난히도 추웠고
다시 돌아온
그토록 기다렸던 봄
움직이지 못하도록
잡고 있고 싶어
날 더 느낄 수 있게
안고 있고 싶어
우연히 내게 오나봐
봄 향기가 보여
너도 같이 오나봐
저 멀리서 니 향기가
설레는 코끝에 나의 입술에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄
I love u so I love u
너무 쉬운 걸
그래도 나 참고 있을게
난 여자이니까
하루 더 기다려
바보야 내게 말해봐
니 마음도 보여
갖고 싶다고 해봐
더 이상은 감추지 마
어느새 내 앞에 이젠 내 앞에
괜찮은 느낌 이 떨림
나도 몰래 우연히 봄",https://www.melon.com/song/detail.htm?songId=5650996
